Inventory_ID,Product_ID,Warehouse_ID,Stock_Units,Reorder_Level,Safety_Stock,Inventory_Date,Stock_Value
INV00069,PROD0098,WH04,2679,464,512,2025-01-12,5296918.8
INV00070,PROD0037,WH07,1847,811,286,2026-02-19,1809321.2
INV00071,PROD0075,WH09,3904,1031,75,2025-02-01,7343072.64
INV00072,PROD0070,WH11,504,873,170,2025-06-09,979972.56
INV00073,PROD0146,WH02,1621,356,555,2025-08-25,3904356.81
INV00074,PROD0128,WH11,2472,450,231,2025-06-30,3467301.36
INV00075,PROD0085,WH03,2546,1077,760,2026-07-12,5766359.02
INV00076,PROD0042,WH05,1387,729,683,2025-12-07,1351589.89
INV00077,PROD0100,WH03,2994,526,592,2026-04-03,3723428.22
INV00078,PROD0041,WH11,3816,1160,364,2025-03-21,8984924.64
INV00079,PROD0166,WH08,717,1094,667,2026-04-18,1596981.27
INV00080,PROD0034,WH12,3484,296,785,2025-04-22,5123744.6
INV00081,PROD0017,WH10,4434,712,322,2025-10-19,5483394.78
INV00082,PROD0165,WH08,658,415,281,2026-01-18,1563914.66
INV00083,PROD0153,WH08,4008,1355,469,2025-01-17,795107.04
INV00084,PROD0122,WH12,4524,1483,491,2026-05-08,10716948.84
INV00085,PROD0076,WH12,4994,324,545,2025-11-27,9438859.76
INV00086,PROD0087,WH09,4234,1305,73,2026-05-01,3423146.66
INV00087,PROD0117,WH04,3764,258,158,2026-02-10,849986.48
INV00088,PROD0106,WH05,2989,360,752,2025-04-27,914364.99
INV00089,PROD0086,WH05,4637,483,551,2026-07-09,1121458.45
INV00090,PROD0027,WH08,2104,305,74,2025-04-25,2662170.16
INV00091,PROD0057,WH07,1255,1328,236,2026-07-03,387343.2
INV00092,PROD0031,WH09,2482,427,337,2026-07-01,472473.52
INV00093,PROD0134,WH08,383,517,677,2025-12-02,451794.46
INV00094,PROD0168,WH02,2607,1001,387,2025-12-02,4056570.21
INV00095,PROD0098,WH10,193,1073,86,2025-05-27,381599.6
INV00096,PROD0012,WH12,3807,671,186,2025-05-02,442411.47
INV00097,PROD0053,WH04,3719,1279,557,2025-03-22,7863899.88
INV00098,PROD0199,WH06,2581,824,276,2026-01-10,6259544.44
INV00099,PROD0138,WH12,2565,212,369,2026-07-24,4176563.85
INV00100,PROD0173,WH02,2763,1241,231,2025-03-04,4048872.57
INV00101,PROD0145,WH07,2798,893,135,2026-05-19,1596650.72
INV00102,PROD0154,WH03,2339,1172,516,2026-03-25,3254320.87
INV00103,PROD0190,WH03,3406,312,102,2026-03-04,7381381.02
INV00104,PROD0122,WH11,731,428,284,2026-03-03,1731673.21
INV00105,PROD0046,WH02,2872,370,482,2026-02-25,538097.92
INV00106,PROD0064,WH11,3120,494,545,2025-11-18,1422532.8
INV00107,PROD0130,WH08,4780,388,149,2025-06-15,10837646.2
INV00108,PROD0054,WH06,4177,625,648,2026-08-20,304210.91
INV00109,PROD0107,WH01,2604,1176,452,2026-04-06,964339.32
INV00110,PROD0193,WH12,2382,1302,445,2026-04-04,2264114.82
INV00111,PROD0051,WH01,531,857,576,2025-07-08,101898.9
INV00112,PROD0181,WH07,4316,1118,464,2026-04-09,7408672.96
INV00113,PROD0036,WH08,634,1405,662,2026-01-14,916161.7
INV00114,PROD0115,WH05,1769,698,726,2025-01-02,3131147.69
INV00115,PROD0026,WH12,3804,961,512,2025-12-30,5973269.04
INV00116,PROD0029,WH11,2370,1065,590,2025-03-13,3914884.5
INV00117,PROD0149,WH05,2,1025,675,2026-03-03,244.5
INV00118,PROD0011,WH04,205,270,668,2025-06-19,26510.6
INV00119,PROD0040,WH06,4135,447,413,2025-07-24,5668506.1
INV00120,PROD0011,WH06,2621,345,179,2025-12-03,338947.72
INV00121,PROD0164,WH03,4739,781,133,2026-04-17,3379807.41
INV00122,PROD0113,WH09,2890,669,320,2025-07-14,565919.8
INV00123,PROD0187,WH12,3193,392,293,2025-10-02,4915112.62
INV00124,PROD0039,WH11,2666,1291,437,2025-01-07,3075924.16
INV00125,PROD0054,WH07,3306,693,263,2026-07-20,240775.98
INV00126,PROD0098,WH01,897,251,215,2026-07-27,1773548.4
INV00127,PROD0055,WH07,1085,1081,108,2026-08-22,2212260.75
INV00128,PROD0111,WH05,1279,562,651,2025-06-27,286508.79
INV00129,PROD0152,WH05,670,1116,553,2025-08-30,1663288.4
INV00130,PROD0150,WH02,1505,673,755,2025-07-22,3355382.45
INV00131,PROD0069,WH04,3575,720,172,2026-06-27,3358569.5
INV00132,PROD0056,WH12,4814,890,697,2026-04-07,3443983.74
INV00133,PROD0033,WH06,1955,1421,462,2025-03-21,158120.4
INV00134,PROD0036,WH10,249,1351,188,2026-06-07,359817.45
INV00135,PROD0148,WH11,1892,731,278,2026-02-21,4588383.8
INV00136,PROD0081,WH07,3439,1039,323,2026-01-19,2786690.48
INV00137,PROD0190,WH11,1853,1288,488,2026-01-26,4015766.01
INV00138,PROD0109,WH05,2854,440,611,2025-05-06,4427324.58
INV00139,PROD0154,WH09,1503,735,167,2026-05-09,2091168.99
INV00140,PROD0194,WH03,3385,282,763,2025-02-16,6868943.55
INV00141,PROD0073,WH01,3571,1181,532,2026-04-21,7671079.36
INV00142,PROD0040,WH04,3792,1150,444,2026-04-09,5198301.12
INV00143,PROD0017,WH09,3426,810,752,2025-05-03,4236831.42
INV00144,PROD0129,WH04,43,773,509,2026-04-19,45975.17
INV00145,PROD0061,WH02,3612,485,742,2025-05-14,6652039.8
INV00146,PROD0171,WH10,2618,1188,127,2026-07-16,3055965.22
INV00147,PROD0104,WH05,4678,658,461,2026-08-30,10389557.32
INV00148,PROD0042,WH03,3163,1435,124,2025-01-23,3082248.61
INV00149,PROD0025,WH12,1288,325,344,2026-07-20,1218332.08
INV00150,PROD0039,WH09,2942,624,70,2025-08-23,3394361.92
INV00151,PROD0035,WH04,219,753,220,2025-02-28,514971.93
INV00152,PROD0131,WH06,1925,809,64,2025-06-13,560810.25
INV00153,PROD0108,WH02,2972,1381,260,2025-08-04,5668644.2
INV00154,PROD0172,WH06,3513,311,609,2025-07-02,3137390.04
INV00155,PROD0179,WH03,2448,601,135,2026-07-23,1919672.64
INV00156,PROD0102,WH12,3471,321,198,2025-03-31,4791993.18
INV00157,PROD0098,WH12,2774,472,749,2025-11-07,5484752.8
INV00158,PROD0012,WH09,990,597,421,2026-07-11,115047.9
INV00159,PROD0019,WH11,2946,670,529,2025-09-14,1312177.86
INV00160,PROD0101,WH02,1812,1184,200,2026-06-17,286350.36
INV00161,PROD0044,WH12,4953,1430,190,2026-06-17,11217554.4
INV00162,PROD0187,WH12,803,1333,118,2025-02-21,1236090.02
INV00163,PROD0049,WH09,489,768,309,2025-12-04,122098.41
INV00164,PROD0189,WH05,3556,1337,570,2025-06-20,8295543.48
INV00165,PROD0017,WH08,1493,1096,682,2025-03-08,1846348.31
INV00166,PROD0074,WH02,3645,1019,420,2025-10-27,3940427.25
INV00167,PROD0057,WH06,2891,1052,468,2025-08-20,892278.24
INV00168,PROD0055,WH03,1705,909,150,2025-03-09,3476409.75
INV00169,PROD0047,WH12,3516,520,710,2026-05-21,933251.88
INV00170,PROD0012,WH12,3340,378,707,2025-01-28,388141.4
INV00171,PROD0062,WH10,53,1096,292,2025-02-20,106617.45
INV00172,PROD0080,WH05,2575,418,561,2025-09-17,5327031.25
INV00173,PROD0083,WH12,3591,988,604,2026-08-14,3526972.47
INV00174,PROD0008,WH08,615,691,144,2026-08-09,1167423.75
INV00175,PROD0149,WH10,954,260,275,2025-07-03,116626.5
INV00176,PROD0081,WH01,2433,1277,567,2025-01-23,1971508.56
INV00177,PROD0118,WH05,1629,737,263,2025-05-09,4018417.2
INV00178,PROD0198,WH03,2781,1047,767,2025-10-18,2673959.31
INV00179,PROD0200,WH04,649,1187,116,2026-05-16,1367877.83
INV00180,PROD0025,WH02,2347,264,445,2025-07-05,2220050.77
INV00181,PROD0089,WH09,4490,785,661,2026-04-24,10673897.4
INV00182,PROD0012,WH03,3278,370,61,2026-07-25,380936.38
INV00183,PROD0143,WH02,2640,1496,286,2026-05-07,1913973.6
INV00184,PROD0059,WH10,3801,734,448,2026-05-28,5997673.92
INV00185,PROD0154,WH11,2561,892,456,2025-03-08,3563196.13
INV00186,PROD0109,WH09,3249,307,529,2026-04-12,5040076.23
INV00187,PROD0026,WH07,370,1385,696,2025-10-12,580996.2
INV00188,PROD0047,WH06,857,1013,271,2026-08-24,227473.51
INV00189,PROD0032,WH01,4886,1204,205,2026-02-21,7873349.26
INV00190,PROD0010,WH05,4753,651,703,2025-04-10,1442250.32
INV00191,PROD0016,WH12,383,1429,477,2025-07-08,98859.96
INV00192,PROD0199,WH11,3877,789,207,2026-01-23,9402655.48
INV00193,PROD0145,WH11,2552,1239,465,2025-08-29,1456273.28
INV00194,PROD0151,WH03,4334,526,375,2026-02-21,5748357.56
INV00195,PROD0026,WH01,4290,807,420,2025-06-25,6736415.4
INV00196,PROD0086,WH04,2725,858,393,2026-01-22,659041.25
INV00197,PROD0135,WH02,4034,201,311,2026-04-16,624906.94
INV00198,PROD0014,WH02,3293,1233,332,2025-08-21,5807501.87
INV00199,PROD0079,WH03,4251,633,278,2026-03-28,5401108.05
INV00200,PROD0117,WH08,3988,324,329,2025-10-04,900570.16
INV00201,PROD0007,WH08,922,1304,339,2025-08-17,829421.98
INV00202,PROD0137,WH12,2915,684,729,2025-06-20,895050.75
INV00203,PROD0115,WH07,2950,851,96,2025-08-01,5221529.5
INV00204,PROD0176,WH06,3046,1373,764,2025-10-09,7510613.58
INV00205,PROD0072,WH09,974,999,263,2025-02-10,2267403.82
INV00206,PROD0059,WH04,1230,1072,73,2025-05-02,1940841.6
INV00207,PROD0082,WH12,2435,328,370,2025-08-15,5455325.3
INV00208,PROD0116,WH01,1814,637,323,2025-10-21,393910.1
INV00209,PROD0167,WH08,2934,950,605,2026-08-23,3366207.54
INV00210,PROD0146,WH07,4933,700,362,2025-09-24,11881673.13
INV00211,PROD0187,WH07,1363,1281,412,2026-06-25,2098120.42
INV00212,PROD0103,WH03,3940,1421,717,2026-03-27,4382068.0
INV00213,PROD0017,WH04,203,410,429,2026-03-25,251044.01
INV00214,PROD0014,WH10,160,1101,760,2025-03-02,282174.4
INV00215,PROD0159,WH09,4487,244,723,2026-05-17,5135506.11
INV00216,PROD0152,WH06,768,1320,519,2025-05-27,1906575.36
INV00217,PROD0108,WH05,3748,734,795,2025-11-30,7148747.8
INV00218,PROD0188,WH03,2581,660,724,2025-05-22,2721225.73
INV00219,PROD0045,WH09,1093,590,165,2025-02-13,548183.22
INV00220,PROD0098,WH05,4500,1267,654,2025-05-24,8897400.0
INV00221,PROD0131,WH05,607,226,91,2025-11-29,176837.31
INV00222,PROD0037,WH04,1540,993,428,2026-05-12,1508584.0
INV00223,PROD0171,WH04,2875,1320,771,2026-01-31,3355958.75
INV00224,PROD0168,WH12,3191,1174,255,2025-02-24,4965291.73
INV00225,PROD0183,WH01,1837,747,515,2025-11-03,4185880.05
INV00226,PROD0108,WH07,689,820,781,2026-02-27,1314164.15
INV00227,PROD0039,WH09,3759,766,329,2026-02-21,4336983.84
INV00228,PROD0015,WH03,2949,903,697,2025-11-21,3519100.68
INV00229,PROD0120,WH12,2103,1442,667,2025-03-21,1968513.15
INV00230,PROD0004,WH02,365,384,167,2025-01-31,560322.45
INV00231,PROD0093,WH03,3575,1292,286,2025-04-22,2658477.25
INV00232,PROD0153,WH01,4550,1353,358,2026-07-12,902629.0
INV00233,PROD0141,WH06,4199,1047,505,2026-07-18,10102794.0
INV00234,PROD0161,WH11,4172,798,524,2026-04-17,6120407.44
INV00235,PROD0016,WH11,4325,1005,149,2025-03-15,1116369.0
INV00236,PROD0170,WH07,2378,1377,310,2026-07-07,1147337.44
INV00237,PROD0108,WH11,1205,278,354,2026-04-24,2298356.75
INV00238,PROD0126,WH11,4988,778,403,2026-08-12,1109830.0
INV00239,PROD0194,WH02,3839,612,335,2026-01-22,7790213.97
INV00240,PROD0055,WH08,2735,745,377,2026-07-18,5576528.25
INV00241,PROD0170,WH06,3347,368,152,2026-03-09,1614860.56
INV00242,PROD0034,WH04,1675,880,112,2026-02-16,2463338.75
INV00243,PROD0158,WH05,298,782,736,2026-04-12,519694.12
INV00244,PROD0013,WH08,956,714,331,2026-08-22,2046623.92
INV00245,PROD0141,WH03,1114,231,490,2025-09-05,2680284.0
INV00246,PROD0018,WH03,2505,486,342,2026-08-04,2984907.9
INV00247,PROD0160,WH11,1474,793,787,2025-04-30,2320783.52
INV00248,PROD0096,WH04,4460,1266,56,2025-03-08,8405539.0
INV00249,PROD0123,WH01,4446,816,688,2026-07-27,10960323.66
INV00250,PROD0039,WH09,3726,1224,141,2025-11-23,4298909.76
INV00251,PROD0046,WH08,3471,469,239,2026-04-15,650326.56
INV00252,PROD0029,WH08,2828,1403,525,2026-05-08,4671431.8
INV00253,PROD0190,WH10,2850,717,560,2025-10-13,6176434.5
INV00254,PROD0062,WH06,2506,1326,511,2026-08-31,5041194.9
INV00255,PROD0185,WH07,3770,1233,102,2025-11-08,8954692.5
INV00256,PROD0016,WH06,2964,782,535,2025-11-05,765067.68
INV00257,PROD0184,WH09,4594,1313,693,2025-04-07,9459091.94
INV00258,PROD0121,WH03,949,425,539,2025-04-23,1931034.69
INV00259,PROD0010,WH03,4603,869,413,2026-04-01,1396734.32
INV00260,PROD0158,WH03,2850,1116,161,2026-04-08,4970229.0
INV00261,PROD0153,WH10,165,325,458,2025-05-12,32732.7
INV00262,PROD0103,WH03,3486,1155,56,2025-05-01,3877129.2
INV00263,PROD0084,WH09,2509,1432,791,2025-07-16,105202.37
INV00264,PROD0133,WH12,919,1320,717,2026-04-27,39709.99
INV00265,PROD0065,WH04,113,273,246,2025-02-08,212471.64
INV00266,PROD0177,WH07,3504,1414,784,2026-07-20,6131754.72
INV00267,PROD0003,WH09,991,255,416,2026-05-27,1380036.87
INV00268,PROD0173,WH11,3839,919,299,2026-04-19,5625632.21
INV00269,PROD0142,WH12,1258,752,644,2025-06-10,1190759.9
INV00270,PROD0120,WH07,3426,231,289,2025-10-16,3206907.3
INV00271,PROD0158,WH09,514,773,429,2025-07-19,896385.16
INV00272,PROD0068,WH12,4804,866,520,2026-06-12,4997841.4
INV00273,PROD0146,WH03,3196,483,750,2026-05-18,7697917.56
INV00274,PROD0190,WH04,4434,386,504,2025-09-05,9609231.78
INV00275,PROD0037,WH08,2584,697,415,2026-01-18,2531286.4
INV00276,PROD0153,WH06,67,329,339,2025-08-06,13291.46
INV00277,PROD0176,WH05,1596,838,452,2025-03-28,3935305.08
INV00278,PROD0193,WH04,4478,313,107,2025-03-23,4256383.78
INV00279,PROD0181,WH08,18,1422,570,2025-03-03,30898.08
INV00280,PROD0073,WH01,2730,212,353,2026-05-15,5864476.8
INV00281,PROD0143,WH09,3521,1494,164,2025-02-11,2552689.79
INV00282,PROD0049,WH01,572,1438,259,2025-01-12,142822.68
INV00283,PROD0121,WH08,2258,643,90,2025-04-25,4594600.98
INV00284,PROD0088,WH04,2902,646,222,2025-08-06,6894861.8
INV00285,PROD0196,WH09,650,1185,283,2025-04-16,252713.5
INV00286,PROD0140,WH11,2587,1192,639,2026-06-12,3789101.29
INV00287,PROD0187,WH05,3262,914,669,2026-04-17,5021327.08
INV00288,PROD0037,WH03,1338,273,452,2026-01-22,1310704.8
INV00289,PROD0061,WH09,4996,736,88,2025-08-14,9200883.4
INV00290,PROD0171,WH11,3634,300,168,2026-04-26,4241931.86
INV00291,PROD0124,WH09,2827,375,384,2026-02-12,5334944.78
INV00292,PROD0198,WH04,2217,626,385,2026-04-02,2131667.67
INV00293,PROD0039,WH11,3539,1340,588,2025-01-21,4083156.64
INV00294,PROD0184,WH04,1037,1389,665,2026-08-24,2135193.37
INV00295,PROD0063,WH12,4383,240,123,2025-07-22,3137614.38
INV00296,PROD0046,WH08,3978,628,240,2026-02-21,745318.08
INV00297,PROD0088,WH02,2961,543,373,2026-02-20,7035039.9
INV00298,PROD0011,WH09,3226,565,196,2026-03-24,417186.32
INV00299,PROD0062,WH06,1098,1343,333,2026-05-27,2208791.7
INV00300,PROD0077,WH09,2324,808,262,2025-03-26,630408.24
INV00301,PROD0153,WH08,939,856,684,2025-06-16,186278.82
INV00302,PROD0199,WH07,3716,927,767,2026-01-19,9012191.84
INV00303,PROD0052,WH01,3414,428,443,2026-04-13,2757317.1
INV00304,PROD0004,WH12,1448,1024,388,2025-03-13,2222868.24
INV00305,PROD0059,WH03,570,1353,71,2026-06-05,899414.4
INV00306,PROD0072,WH11,2904,1088,154,2026-04-18,6760308.72
INV00307,PROD0148,WH02,2505,1183,515,2025-09-15,6075000.75
INV00308,PROD0093,WH05,917,1035,508,2025-10-02,681908.71
INV00309,PROD0063,WH05,1874,1496,481,2025-01-20,1341521.64
INV00310,PROD0054,WH05,4928,316,765,2026-05-05,358906.24
INV00311,PROD0117,WH04,1678,1017,668,2026-05-05,378925.96
INV00312,PROD0110,WH05,615,567,270,2025-11-22,163768.35
INV00313,PROD0074,WH03,4501,1317,428,2026-06-13,4865806.05
INV00314,PROD0107,WH12,1749,367,271,2025-03-30,647707.17
INV00315,PROD0057,WH01,3825,1153,307,2026-05-01,1180548.0
INV00316,PROD0169,WH05,4188,860,762,2025-12-16,2949566.52
INV00317,PROD0003,WH09,2477,894,416,2025-03-25,3449395.89
INV00318,PROD0120,WH09,4749,1124,398,2026-01-22,4445301.45
INV00319,PROD0006,WH04,3505,351,274,2025-03-28,2210288.05
INV00320,PROD0005,WH03,3475,785,763,2025-11-03,3675542.25
INV00321,PROD0005,WH01,4529,1112,787,2025-06-03,4790368.59
INV00322,PROD0054,WH02,1135,473,285,2026-03-16,82662.05
INV00323,PROD0047,WH08,4000,695,232,2025-09-21,1061720.0
INV00324,PROD0177,WH01,374,300,761,2026-02-25,654473.82
INV00325,PROD0009,WH08,206,756,493,2026-05-08,10458.62
INV00326,PROD0099,WH07,4875,1305,672,2026-02-15,1178043.75
INV00327,PROD0020,WH08,1319,272,55,2025-06-22,1441825.28
INV00328,PROD0122,WH12,1141,1237,285,2025-01-04,2702926.31
INV00329,PROD0061,WH06,4627,356,176,2026-04-17,8521314.55
INV00330,PROD0123,WH12,2690,934,153,2025-04-20,6631414.9
INV00331,PROD0163,WH09,3255,331,798,2025-02-06,416412.15
INV00332,PROD0178,WH03,89,1218,529,2026-08-06,119900.8
INV00333,PROD0082,WH10,4108,758,204,2025-01-31,9203481.04
INV00334,PROD0062,WH04,3020,306,306,2026-01-16,6075183.0
INV00335,PROD0145,WH06,1857,464,284,2025-09-25,1059678.48
INV00336,PROD0003,WH08,804,1428,549,2025-01-11,1119626.28
INV00337,PROD0160,WH05,944,1302,338,2025-12-10,1486309.12
INV00338,PROD0013,WH03,2789,354,559,2026-06-28,5970746.98
INV00339,PROD0120,WH06,3875,1187,601,2026-07-23,3627193.75
INV00340,PROD0125,WH04,1610,1196,758,2025-06-15,1529516.1
INV00341,PROD0089,WH09,2923,446,618,2025-12-08,6948730.98
INV00342,PROD0073,WH03,3882,730,347,2026-04-27,8339157.12
INV00343,PROD0068,WH04,3221,1057,659,2025-01-19,3350967.35
INV00344,PROD0142,WH07,4391,737,186,2025-07-03,4156301.05
INV00345,PROD0101,WH07,4735,928,425,2026-06-29,748272.05
INV00346,PROD0098,WH12,2387,1377,136,2025-01-10,4719576.4
INV00347,PROD0011,WH12,4723,353,468,2026-08-15,610778.36
INV00348,PROD0105,WH04,941,291,248,2025-07-11,834685.82
INV00349,PROD0184,WH06,4925,537,512,2025-11-16,10140624.25
INV00350,PROD0067,WH12,2566,1354,486,2026-08-03,6354468.06
INV00351,PROD0123,WH03,975,649,359,2026-04-20,2403579.75
INV00352,PROD0029,WH06,954,1009,645,2026-03-03,1575864.9
INV00353,PROD0137,WH12,1262,986,330,2025-02-28,387497.1
INV00354,PROD0195,WH02,943,472,372,2026-03-12,2327682.34
INV00355,PROD0153,WH08,2202,787,751,2025-04-07,436832.76
INV00356,PROD0076,WH02,3327,376,201,2026-05-11,6288163.08
INV00357,PROD0170,WH11,4274,1030,351,2025-10-05,2062119.52
INV00358,PROD0009,WH07,2259,842,327,2025-09-22,114689.43
INV00359,PROD0040,WH09,1828,1272,700,2025-01-09,2505932.08
INV00360,PROD0025,WH01,1257,766,737,2026-04-02,1189008.87
INV00361,PROD0005,WH08,464,865,57,2025-09-30,490777.44
INV00362,PROD0139,WH07,3294,1067,284,2025-01-08,6156222.48
INV00363,PROD0187,WH06,1230,1269,724,2025-07-27,1893388.2
INV00364,PROD0124,WH06,2654,501,610,2025-05-03,5008469.56
INV00365,PROD0038,WH06,884,1067,351,2025-02-02,1426395.88
INV00366,PROD0072,WH09,3805,1111,87,2026-05-28,8857773.65
INV00367,PROD0133,WH02,3856,607,185,2025-07-23,166617.76
INV00368,PROD0176,WH01,3135,1412,470,2026-06-02,7730063.55
INV00369,PROD0090,WH12,924,1021,268,2026-06-01,1330550.76
INV00370,PROD0146,WH06,4589,1352,397,2026-03-19,11053111.29
INV00371,PROD0198,WH10,1546,760,595,2026-08-15,1486494.46
INV00372,PROD0037,WH11,1094,1489,128,2025-12-05,1071682.4
INV00373,PROD0060,WH08,2411,1341,797,2026-03-14,5293398.72
INV00374,PROD0176,WH03,2617,663,322,2026-03-21,6452815.41
INV00375,PROD0028,WH12,762,343,210,2025-05-16,1633255.56
INV00376,PROD0197,WH10,2323,641,736,2026-01-22,3464545.43
INV00377,PROD0081,WH01,4145,1423,357,2025-01-25,3358776.4
INV00378,PROD0114,WH09,2775,1380,423,2026-05-21,5709063.0
INV00379,PROD0040,WH01,4659,686,782,2025-11-21,6386836.74
INV00380,PROD0045,WH03,4878,1059,58,2025-12-04,2446512.12
INV00381,PROD0062,WH08,3155,1357,493,2025-04-05,6346755.75
INV00382,PROD0093,WH03,3970,347,162,2026-06-29,2952211.1
INV00383,PROD0115,WH04,2040,1294,254,2025-05-26,3610820.4
INV00384,PROD0186,WH08,583,1456,454,2025-08-19,1060133.03
INV00385,PROD0067,WH01,4331,1010,747,2026-05-10,10725331.71
INV00386,PROD0056,WH06,2103,865,246,2025-02-07,1504507.23
INV00387,PROD0040,WH01,1942,289,164,2026-03-01,2662210.12
INV00388,PROD0098,WH01,4455,398,170,2026-03-13,8808426.0
INV00389,PROD0040,WH08,109,1384,702,2026-01-03,149423.74
INV00390,PROD0091,WH11,191,737,114,2025-12-11,302757.92
INV00391,PROD0033,WH04,903,1344,325,2025-06-09,73034.64
INV00392,PROD0006,WH12,861,500,288,2026-07-04,542955.21
INV00393,PROD0147,WH01,1083,923,351,2026-06-25,48951.6
INV00394,PROD0080,WH10,649,1162,441,2025-05-24,1342618.75
INV00395,PROD0168,WH07,4134,267,571,2026-08-11,6432628.02
INV00396,PROD0092,WH05,3611,658,418,2026-07-30,4078227.29
INV00397,PROD0097,WH05,636,597,282,2025-12-11,1260596.52
