Order_ID,Order_Date,Customer_ID,Product_ID,Warehouse_ID,Quantity,Priority,Order_Status,Unit_Price,Order_Value,Shipment_ID,Supplier_ID,Origin_Warehouse_ID,Destination_City,Shipping_Mode,Shipping_Date,Expected_Delivery_Date,Actual_Delivery_Date,Shipment_Status,Delay_Days,Freight_Cost,Product_Name,Category,Unit_Weight_Kg,Supplier_ID_product,Supplier_Name,Country,City,Lead_Time_Days,Supplier_Rating,Unit_Cost_Index,Warehouse_Name,City_warehouse,State,Capacity_Units,Order_Lead_Time_Days,Shipping_Duration_Days,On_Time_Delivery
ORD000011,2026-07-16,CUST01573,PROD0139,WH03,226,Standard,Cancelled,1868.92,422375.92,SHIP000011,SUP027,WH03,Chennai,Sea,2026-07-19,2026-08-22,2026-08-25,Delivered Late,3,611.08,Product_0139,Electronics,15.18,SUP027,Supplier_027,USA,Mumbai,27,3.5,1.05,Warehouse_03,Chennai,Tamil Nadu,83230,40,37,No
ORD000012,2026-01-09,CUST00059,PROD0108,WH06,264,Standard,Cancelled,1907.35,503540.4,SHIP000012,SUP009,WH06,Kolkata,Road,2026-01-10,2026-01-28,2026-02-07,Delivered Late,10,97.68,Product_0108,Consumer Goods,22.39,SUP009,Supplier_009,China,Delhi,10,3.5,0.89,Warehouse_06,Pune,Maharashtra,51480,29,28,No
ORD000013,2026-04-01,CUST00459,PROD0075,WH08,109,Standard,Cancelled,1880.91,205019.19,SHIP000013,SUP002,WH08,Kolkata,Air,2026-04-02,2026-05-01,2026-05-08,Delivered Late,7,637.37,Product_0075,Consumer Goods,4.89,SUP002,Supplier_002,USA,Shanghai,18,3.0,0.86,Warehouse_08,Kolkata,West Bengal,92258,37,36,No
ORD000014,2025-03-29,CUST00104,PROD0028,WH04,44,Express,In Transit,2143.38,94308.72,SHIP000014,SUP015,WH04,Vijayawada,Road,2025-04-01,2025-04-29,2025-05-02,Delivered Late,3,118.67,Product_0028,Electronics,21.32,SUP015,Supplier_015,USA,Mumbai,23,3.1,1.0,Warehouse_04,Bengaluru,Karnataka,94055,34,31,No
ORD000015,2025-01-20,CUST00831,PROD0183,WH08,201,Critical,Delivered,2278.65,458008.65,SHIP000015,SUP008,WH08,Kolkata,Road,2025-01-23,2025-02-24,2025-03-06,Delivered Late,10,166.28,Product_0183,Industrial,8.13,SUP008,Supplier_008,Thailand,Shanghai,27,2.9,0.82,Warehouse_08,Kolkata,West Bengal,92258,45,42,No
ORD000016,2025-01-14,CUST00789,PROD0197,WH07,284,Standard,Cancelled,1491.41,423560.44,SHIP000016,SUP029,WH07,Kolkata,Sea,2025-01-17,2025-01-31,2025-01-31,Delivered On Time,0,237.06,Product_0197,Electronics,23.46,SUP029,Supplier_029,Japan,Bengaluru,11,4.8,0.92,Warehouse_07,Delhi,Delhi,88836,17,14,Yes
ORD000017,2025-05-13,CUST02152,PROD0200,WH11,147,Standard,Backordered,2107.67,309827.49,SHIP000017,SUP003,WH11,Kolkata,Sea,2025-05-15,2025-06-12,2025-06-15,Delivered Late,3,576.74,Product_0200,Electronics,18.55,SUP003,Supplier_003,Germany,Bengaluru,17,3.6,1.29,Warehouse_11,Visakhapatnam,Andhra Pradesh,99111,33,31,No
ORD000018,2025-02-03,CUST00742,PROD0154,WH11,199,Standard,Delivered,1391.33,276874.67,SHIP000018,SUP020,WH11,Delhi,Sea,2025-02-04,2025-03-13,2025-03-14,Delivered Late,1,666.66,Product_0154,Electronics,10.01,SUP020,Supplier_020,USA,Mumbai,30,3.9,0.94,Warehouse_11,Visakhapatnam,Andhra Pradesh,99111,39,38,No
ORD000019,2025-07-27,CUST01573,PROD0128,WH04,234,Standard,Cancelled,1402.63,328215.42,SHIP000019,SUP026,WH04,Bengaluru,Road,2025-07-28,2025-08-06,2025-08-13,Delivered Late,7,233.78,Product_0128,Home Appliances,13.47,SUP026,Supplier_026,India,Bengaluru,3,4.2,0.9,Warehouse_04,Bengaluru,Karnataka,94055,17,16,No
ORD000020,2025-07-18,CUST02349,PROD0070,WH03,184,Standard,Delivered,1944.39,357767.76,SHIP000020,SUP008,WH03,Kolkata,Rail,2025-07-18,2025-08-21,2025-08-21,Delivered On Time,0,378.97,Product_0070,Electronics,8.71,SUP008,Supplier_008,Thailand,Shanghai,27,2.9,0.82,Warehouse_03,Chennai,Tamil Nadu,83230,34,34,Yes
ORD000021,2026-08-15,CUST02702,PROD0160,WH05,35,Standard,Backordered,1574.48,55106.8,SHIP000021,SUP001,WH05,Pune,Road,2026-08-15,2026-09-10,2026-09-15,In Transit,5,362.87,Product_0160,Industrial,16.75,SUP001,Supplier_001,Thailand,Chennai,16,4.5,1.23,Warehouse_05,Mumbai,Maharashtra,76373,31,31,No
ORD000022,2026-08-06,CUST00555,PROD0176,WH05,209,Standard,Backordered,2465.73,515337.57,SHIP000022,SUP014,WH05,Pune,Rail,2026-08-07,2026-08-28,2026-08-28,Delivered On Time,0,363.26,Product_0176,Consumer Goods,12.08,SUP014,Supplier_014,Germany,Tokyo,17,3.8,1.06,Warehouse_05,Mumbai,Maharashtra,76373,22,21,Yes
ORD000023,2025-06-04,CUST00628,PROD0096,WH07,63,Standard,Delivered,1884.65,118732.95,SHIP000023,SUP018,WH07,Bengaluru,Rail,2025-06-06,2025-07-06,2025-07-07,Delivered Late,1,351.34,Product_0096,Industrial,18.73,SUP018,Supplier_018,Germany,Berlin,27,4.0,0.95,Warehouse_07,Delhi,Delhi,88836,33,31,No
ORD000024,2026-08-13,CUST01108,PROD0140,WH11,82,Standard,Delivered,1464.67,120102.94,SHIP000024,SUP017,WH11,Chennai,Sea,2026-08-14,2026-09-18,2026-09-28,In Transit,10,354.26,Product_0140,Consumer Goods,6.01,SUP017,Supplier_017,Japan,Tokyo,28,4.5,0.82,Warehouse_11,Visakhapatnam,Andhra Pradesh,99111,46,45,No
ORD000025,2025-03-19,CUST02977,PROD0198,WH01,263,Standard,Delivered,961.51,252877.13,SHIP000025,SUP008,WH01,Hyderabad,Air,2025-03-19,2025-04-26,2025-05-03,Delivered Late,7,1561.27,Product_0198,Consumer Goods,4.61,SUP008,Supplier_008,Thailand,Shanghai,27,2.9,0.82,Warehouse_01,Hyderabad,Telangana,50678,45,45,No
ORD000026,2025-06-21,CUST02408,PROD0103,WH09,255,Express,Backordered,1112.2,283611.0,SHIP000026,SUP005,WH09,Pune,Road,2025-06-23,2025-07-12,2025-07-22,Delivered Late,10,385.4,Product_0103,Consumer Goods,11.62,SUP005,Supplier_005,Vietnam,Chennai,16,4.7,1.23,Warehouse_09,Ahmedabad,Gujarat,59986,31,29,No
ORD000027,2025-10-16,CUST02135,PROD0189,WH02,39,Standard,Backordered,2332.83,90980.37,SHIP000027,SUP010,WH02,Delhi,Road,2025-10-18,2025-11-13,2025-11-13,Delivered On Time,0,204.72,Product_0189,Electronics,11.84,SUP010,Supplier_010,Vietnam,Tokyo,23,3.5,1.01,Warehouse_02,Vijayawada,Andhra Pradesh,96218,28,26,Yes
ORD000028,2026-06-29,CUST00428,PROD0162,WH09,286,Standard,In Transit,2254.38,644752.68,SHIP000028,SUP013,WH09,Bengaluru,Road,2026-06-30,2026-07-24,2026-07-26,Delivered Late,2,347.65,Product_0162,Automotive,13.96,SUP013,Supplier_013,Vietnam,Bengaluru,20,4.8,0.75,Warehouse_09,Ahmedabad,Gujarat,59986,27,26,No
ORD000029,2026-02-24,CUST02415,PROD0087,WH09,23,Standard,Cancelled,808.49,18595.27,SHIP000029,SUP038,WH09,Hyderabad,Road,2026-02-25,2026-03-18,2026-03-19,Delivered Late,1,439.33,Product_0087,Home Appliances,1.08,SUP038,Supplier_038,USA,Mumbai,10,4.6,1.04,Warehouse_09,Ahmedabad,Gujarat,59986,23,22,No
ORD000030,2025-01-07,CUST02391,PROD0105,WH03,84,Express,Cancelled,887.02,74509.68,SHIP000030,SUP008,WH03,Pune,Road,2025-01-10,2025-02-16,2025-02-23,Delivered Late,7,195.27,Product_0105,Industrial,1.01,SUP008,Supplier_008,Thailand,Shanghai,27,2.9,0.82,Warehouse_03,Chennai,Tamil Nadu,83230,47,44,No
ORD000031,2025-06-09,CUST02395,PROD0109,WH07,206,Standard,Delivered,1551.27,319561.62,SHIP000031,SUP029,WH07,Mumbai,Road,2025-06-10,2025-06-22,2025-06-22,Delivered On Time,0,291.84,Product_0109,Electronics,12.84,SUP029,Supplier_029,Japan,Bengaluru,11,4.8,0.92,Warehouse_07,Delhi,Delhi,88836,13,12,Yes
ORD000032,2025-08-28,CUST01827,PROD0081,WH03,95,Standard,Delivered,810.32,76980.4,SHIP000032,SUP027,WH03,Hyderabad,Air,2025-08-28,2025-09-26,2025-09-26,Delivered On Time,0,598.0,Product_0081,Automotive,3.1,SUP027,Supplier_027,USA,Mumbai,27,3.5,1.05,Warehouse_03,Chennai,Tamil Nadu,83230,29,29,Yes
ORD000033,2026-02-27,CUST01945,PROD0045,WH08,63,Standard,Delivered,501.54,31597.02,SHIP000033,SUP033,WH08,Bengaluru,Road,2026-03-01,2026-03-14,2026-03-15,Delivered Late,1,264.03,Product_0045,Consumer Goods,22.61,SUP033,Supplier_033,India,Berlin,10,3.3,0.78,Warehouse_08,Kolkata,West Bengal,92258,16,14,No
ORD000034,2026-06-20,CUST02144,PROD0112,WH08,137,Standard,Cancelled,1756.91,240696.67,SHIP000034,SUP022,WH08,Hyderabad,Road,2026-06-22,2026-07-18,2026-07-23,Delivered Late,5,160.59,Product_0112,Industrial,11.24,SUP022,Supplier_022,Japan,Shanghai,15,3.7,1.17,Warehouse_08,Kolkata,West Bengal,92258,33,31,No
ORD000035,2025-03-11,CUST01878,PROD0060,WH03,151,Critical,Delivered,2195.52,331523.52,SHIP000035,SUP005,WH03,Delhi,Road,2025-03-13,2025-04-04,2025-04-04,Delivered On Time,0,238.43,Product_0060,Automotive,8.29,SUP005,Supplier_005,Vietnam,Chennai,16,4.7,1.23,Warehouse_03,Chennai,Tamil Nadu,83230,24,22,Yes
ORD000036,2025-08-04,CUST01160,PROD0193,WH05,117,Standard,Cancelled,950.51,111209.67,SHIP000036,SUP023,WH05,Hyderabad,Road,2025-08-05,2025-08-20,2025-08-27,Delivered Late,7,318.5,Product_0193,Home Appliances,20.78,SUP023,Supplier_023,China,Hanoi,11,2.9,0.97,Warehouse_05,Mumbai,Maharashtra,76373,23,22,No
ORD000037,2025-04-14,CUST01272,PROD0071,WH07,191,Standard,Cancelled,861.9,164622.9,SHIP000037,SUP005,WH07,Kolkata,Road,2025-04-14,2025-05-09,2025-05-12,Delivered Late,3,207.52,Product_0071,Industrial,22.43,SUP005,Supplier_005,Vietnam,Chennai,16,4.7,1.23,Warehouse_07,Delhi,Delhi,88836,28,28,No
ORD000038,2025-02-23,CUST00884,PROD0013,WH01,202,Standard,Delivered,2140.82,432445.64,SHIP000038,SUP014,WH01,Delhi,Rail,2025-02-25,2025-03-21,2025-03-26,Delivered Late,5,243.84,Product_0013,Consumer Goods,21.26,SUP014,Supplier_014,Germany,Tokyo,17,3.8,1.06,Warehouse_01,Hyderabad,Telangana,50678,31,29,No
ORD000039,2025-11-26,CUST00486,PROD0078,WH03,250,Standard,Delivered,2257.84,564460.0,SHIP000039,SUP036,WH03,Vijayawada,Air,2025-11-27,2025-12-23,2025-12-24,Delivered Late,1,1498.88,Product_0078,Electronics,7.04,SUP036,Supplier_036,Thailand,Mumbai,21,3.2,0.89,Warehouse_03,Chennai,Tamil Nadu,83230,28,27,No
ORD000040,2025-07-22,CUST01426,PROD0176,WH01,87,Critical,In Transit,2465.73,214518.51,SHIP000040,SUP014,WH01,Vijayawada,Sea,2025-07-24,2025-08-20,2025-08-20,Delivered On Time,0,564.27,Product_0176,Consumer Goods,12.08,SUP014,Supplier_014,Germany,Tokyo,17,3.8,1.06,Warehouse_01,Hyderabad,Telangana,50678,29,27,Yes
ORD000041,2025-10-15,CUST00604,PROD0125,WH02,74,Standard,Cancelled,950.01,70300.74,SHIP000041,SUP009,WH02,Delhi,Air,2025-10-15,2025-11-03,2025-11-03,Delivered On Time,0,854.59,Product_0125,Home Appliances,19.75,SUP009,Supplier_009,China,Delhi,10,3.5,0.89,Warehouse_02,Vijayawada,Andhra Pradesh,96218,19,19,Yes
ORD000042,2025-02-14,CUST00412,PROD0177,WH07,37,Standard,Cancelled,1749.93,64747.41,SHIP000042,SUP002,WH07,Hyderabad,Road,2025-02-15,2025-03-16,2025-03-19,Delivered Late,3,415.33,Product_0177,Home Appliances,13.36,SUP002,Supplier_002,USA,Shanghai,18,3.0,0.86,Warehouse_07,Delhi,Delhi,88836,33,32,No
ORD000043,2025-07-17,CUST01995,PROD0098,WH07,125,Standard,In Transit,1977.2,247150.0,SHIP000043,SUP033,WH07,Pune,Road,2025-07-19,2025-08-05,2025-08-05,Delivered On Time,0,433.61,Product_0098,Electronics,5.31,SUP033,Supplier_033,India,Berlin,10,3.3,0.78,Warehouse_07,Delhi,Delhi,88836,19,17,Yes
ORD000044,2025-08-04,CUST01932,PROD0091,WH03,166,Standard,Delivered,1585.12,263129.92,SHIP000044,SUP026,WH03,Chennai,Rail,2025-08-06,2025-08-15,2025-08-20,Delivered Late,5,331.06,Product_0091,Electronics,21.85,SUP026,Supplier_026,India,Bengaluru,3,4.2,0.9,Warehouse_03,Chennai,Tamil Nadu,83230,16,14,No
ORD000045,2026-04-26,CUST02496,PROD0186,WH06,1,Express,Delivered,1818.41,1818.41,SHIP000045,SUP003,WH06,Chennai,Road,2026-04-26,2026-05-17,2026-05-24,Delivered Late,7,308.18,Product_0186,Consumer Goods,17.07,SUP003,Supplier_003,Germany,Bengaluru,17,3.6,1.29,Warehouse_06,Pune,Maharashtra,51480,28,28,No
ORD000046,2025-11-05,CUST00247,PROD0089,WH06,291,Standard,Delivered,2377.26,691782.66,SHIP000046,SUP008,WH06,Chennai,Road,2025-11-05,2025-12-07,2025-12-14,Delivered Late,7,196.61,Product_0089,Electronics,15.73,SUP008,Supplier_008,Thailand,Shanghai,27,2.9,0.82,Warehouse_06,Pune,Maharashtra,51480,39,39,No
ORD000047,2026-03-11,CUST02818,PROD0099,WH02,71,Critical,Cancelled,241.65,17157.15,SHIP000047,SUP040,WH02,Chennai,Road,2026-03-11,2026-03-22,2026-03-22,Delivered On Time,0,294.63,Product_0099,Electronics,9.32,SUP040,Supplier_040,Thailand,Bengaluru,5,4.7,0.9,Warehouse_02,Vijayawada,Andhra Pradesh,96218,11,11,Yes
ORD000048,2025-11-28,CUST02747,PROD0073,WH09,108,Critical,Delivered,2148.16,232001.28,SHIP000048,SUP004,WH09,Bengaluru,Road,2025-11-29,2025-12-10,2025-12-11,Delivered Late,1,188.51,Product_0073,Industrial,16.72,SUP004,Supplier_004,Thailand,Tokyo,10,3.1,1.07,Warehouse_09,Ahmedabad,Gujarat,59986,13,12,No
ORD000049,2025-01-27,CUST02469,PROD0070,WH08,86,Express,Backordered,1944.39,167217.54,SHIP000049,SUP008,WH08,Chennai,Road,2025-01-27,2025-02-25,2025-03-07,Delivered Late,10,102.5,Product_0070,Electronics,8.71,SUP008,Supplier_008,Thailand,Shanghai,27,2.9,0.82,Warehouse_08,Kolkata,West Bengal,92258,39,39,No
ORD000050,2025-06-15,CUST02172,PROD0189,WH02,181,Critical,In Transit,2332.83,422242.23,SHIP000050,SUP010,WH02,Bengaluru,Air,2025-06-15,2025-07-10,2025-07-13,Delivered Late,3,1294.25,Product_0189,Electronics,11.84,SUP010,Supplier_010,Vietnam,Tokyo,23,3.5,1.01,Warehouse_02,Vijayawada,Andhra Pradesh,96218,28,28,No
ORD000051,2025-11-14,CUST02989,PROD0154,WH12,25,Standard,Delivered,1391.33,34783.25,SHIP000051,SUP020,WH12,Pune,Road,2025-11-17,2025-12-24,2025-12-29,Delivered Late,5,273.58,Product_0154,Electronics,10.01,SUP020,Supplier_020,USA,Mumbai,30,3.9,0.94,Warehouse_12,Coimbatore,Tamil Nadu,84929,45,42,No
ORD000052,2025-10-01,CUST02925,PROD0039,WH04,298,Standard,Cancelled,1153.76,343820.48,SHIP000052,SUP006,WH04,Chennai,Rail,2025-10-03,2025-10-31,2025-11-02,Delivered Late,2,418.89,Product_0039,Industrial,3.5,SUP006,Supplier_006,Germany,Delhi,25,4.2,1.29,Warehouse_04,Bengaluru,Karnataka,94055,32,30,No
ORD000053,2026-01-18,CUST01623,PROD0186,WH09,151,Standard,In Transit,1818.41,274579.91,SHIP000053,SUP003,WH09,Delhi,Rail,2026-01-18,2026-02-08,2026-02-18,Delivered Late,10,453.82,Product_0186,Consumer Goods,17.07,SUP003,Supplier_003,Germany,Bengaluru,17,3.6,1.29,Warehouse_09,Ahmedabad,Gujarat,59986,31,31,No
ORD000054,2025-12-31,CUST02061,PROD0027,WH04,265,Express,In Transit,1265.29,335301.85,SHIP000054,SUP023,WH04,Hyderabad,Road,2026-01-03,2026-01-23,2026-01-24,Delivered Late,1,416.72,Product_0027,Home Appliances,13.05,SUP023,Supplier_023,China,Hanoi,11,2.9,0.97,Warehouse_04,Bengaluru,Karnataka,94055,24,21,No
ORD000055,2025-04-13,CUST00800,PROD0040,WH07,203,Express,Cancelled,1370.86,278284.58,SHIP000055,SUP003,WH07,Delhi,Rail,2025-04-15,2025-05-07,2025-05-12,Delivered Late,5,440.27,Product_0040,Industrial,0.46,SUP003,Supplier_003,Germany,Bengaluru,17,3.6,1.29,Warehouse_07,Delhi,Delhi,88836,29,27,No
ORD000056,2026-05-18,CUST00945,PROD0123,WH05,51,Standard,Cancelled,2465.21,125725.71,SHIP000056,SUP015,WH05,Chennai,Rail,2026-05-21,2026-06-16,2026-06-23,Delivered Late,7,244.14,Product_0123,Automotive,14.88,SUP015,Supplier_015,USA,Mumbai,23,3.1,1.0,Warehouse_05,Mumbai,Maharashtra,76373,36,33,No
ORD000057,2026-01-08,CUST02248,PROD0031,WH10,220,Standard,Cancelled,190.36,41879.2,SHIP000057,SUP017,WH10,Kolkata,Road,2026-01-08,2026-02-12,2026-02-15,Delivered Late,3,260.16,Product_0031,Electronics,21.93,SUP017,Supplier_017,Japan,Tokyo,28,4.5,0.82,Warehouse_10,Jaipur,Rajasthan,44160,38,38,No
ORD000058,2025-09-02,CUST01266,PROD0131,WH06,57,Express,Delivered,291.33,16605.81,SHIP000058,SUP026,WH06,Pune,Road,2025-09-03,2025-09-11,2025-09-11,Delivered On Time,0,137.11,Product_0131,Electronics,10.85,SUP026,Supplier_026,India,Bengaluru,3,4.2,0.9,Warehouse_06,Pune,Maharashtra,51480,9,8,Yes
ORD000059,2025-06-18,CUST01263,PROD0015,WH01,82,Standard,Cancelled,1193.32,97852.24,SHIP000059,SUP004,WH01,Pune,Rail,2025-06-20,2025-07-07,2025-07-10,Delivered Late,3,482.87,Product_0015,Industrial,11.32,SUP004,Supplier_004,Thailand,Tokyo,10,3.1,1.07,Warehouse_01,Hyderabad,Telangana,50678,22,20,No
ORD000060,2026-02-22,CUST02351,PROD0182,WH04,164,Express,Delivered,419.1,68732.4,SHIP000060,SUP001,WH04,Hyderabad,Road,2026-02-25,2026-03-22,2026-03-27,Delivered Late,5,446.63,Product_0182,Automotive,24.75,SUP001,Supplier_001,Thailand,Chennai,16,4.5,1.23,Warehouse_04,Bengaluru,Karnataka,94055,33,30,No
ORD000061,2025-12-22,CUST01189,PROD0070,WH05,269,Standard,Backordered,1944.39,523040.91,SHIP000061,SUP008,WH05,Delhi,Road,2025-12-25,2026-01-31,2026-02-01,Delivered Late,1,208.66,Product_0070,Electronics,8.71,SUP008,Supplier_008,Thailand,Shanghai,27,2.9,0.82,Warehouse_05,Mumbai,Maharashtra,76373,41,38,No
ORD000062,2026-04-23,CUST02786,PROD0011,WH06,183,Standard,Delivered,129.32,23665.56,SHIP000062,SUP005,WH06,Hyderabad,Road,2026-04-26,2026-05-13,2026-05-13,Delivered On Time,0,103.98,Product_0011,Industrial,19.25,SUP005,Supplier_005,Vietnam,Chennai,16,4.7,1.23,Warehouse_06,Pune,Maharashtra,51480,20,17,Yes
ORD000063,2025-05-05,CUST00176,PROD0030,WH06,180,Critical,Delivered,419.89,75580.2,SHIP000063,SUP025,WH06,Delhi,Air,2025-05-05,2025-05-26,2025-05-31,Delivered Late,5,748.48,Product_0030,Industrial,14.07,SUP025,Supplier_025,Germany,Hyderabad,15,2.9,1.33,Warehouse_06,Pune,Maharashtra,51480,26,26,No
ORD000064,2026-06-21,CUST01053,PROD0035,WH05,284,Standard,Delivered,2351.47,667817.48,SHIP000064,SUP040,WH05,Vijayawada,Road,2026-06-23,2026-07-07,2026-07-07,Delivered On Time,0,151.11,Product_0035,Automotive,18.9,SUP040,Supplier_040,Thailand,Bengaluru,5,4.7,0.9,Warehouse_05,Mumbai,Maharashtra,76373,16,14,Yes
ORD000065,2026-02-06,CUST02725,PROD0112,WH03,86,Standard,Delivered,1756.91,151094.26,SHIP000065,SUP022,WH03,Pune,Road,2026-02-08,2026-02-24,2026-02-27,Delivered Late,3,412.43,Product_0112,Industrial,11.24,SUP022,Supplier_022,Japan,Shanghai,15,3.7,1.17,Warehouse_03,Chennai,Tamil Nadu,83230,21,19,No
ORD000066,2026-06-01,CUST02583,PROD0043,WH11,111,Critical,Delivered,2403.56,266795.16,SHIP000066,SUP015,WH11,Delhi,Road,2026-06-04,2026-07-03,2026-07-06,Delivered Late,3,211.21,Product_0043,Electronics,9.87,SUP015,Supplier_015,USA,Mumbai,23,3.1,1.0,Warehouse_11,Visakhapatnam,Andhra Pradesh,99111,35,32,No
ORD000067,2026-06-15,CUST01318,PROD0189,WH02,158,Critical,Delivered,2332.83,368587.14,SHIP000067,SUP010,WH02,Delhi,Road,2026-06-16,2026-07-12,2026-07-12,Delivered On Time,0,308.79,Product_0189,Electronics,11.84,SUP010,Supplier_010,Vietnam,Tokyo,23,3.5,1.01,Warehouse_02,Vijayawada,Andhra Pradesh,96218,27,26,Yes
ORD000068,2025-09-11,CUST00477,PROD0168,WH07,45,Standard,Delivered,1556.03,70021.35,SHIP000068,SUP029,WH07,Mumbai,Rail,2025-09-13,2025-10-04,2025-10-04,Delivered On Time,0,122.62,Product_0168,Industrial,10.69,SUP029,Supplier_029,Japan,Bengaluru,11,4.8,0.92,Warehouse_07,Delhi,Delhi,88836,23,21,Yes
ORD000069,2025-05-01,CUST02431,PROD0093,WH01,38,Critical,Cancelled,743.63,28257.94,SHIP000069,SUP026,WH01,Delhi,Road,2025-05-03,2025-05-14,2025-05-16,Delivered Late,2,444.11,Product_0093,Industrial,1.62,SUP026,Supplier_026,India,Bengaluru,3,4.2,0.9,Warehouse_01,Hyderabad,Telangana,50678,15,13,No
ORD000070,2025-02-01,CUST02604,PROD0170,WH12,20,Standard,Backordered,482.48,9649.6,SHIP000070,SUP030,WH12,Mumbai,Air,2025-02-01,2025-03-09,2025-03-09,Delivered On Time,0,1082.77,Product_0170,Consumer Goods,6.14,SUP030,Supplier_030,Germany,Mumbai,26,3.3,0.77,Warehouse_12,Coimbatore,Tamil Nadu,84929,36,36,Yes
ORD000071,2025-02-06,CUST01716,PROD0170,WH12,97,Standard,In Transit,482.48,46800.56,SHIP000071,SUP030,WH12,Delhi,Road,2025-02-09,2025-03-14,2025-03-14,Delivered On Time,0,121.58,Product_0170,Consumer Goods,6.14,SUP030,Supplier_030,Germany,Mumbai,26,3.3,0.77,Warehouse_12,Coimbatore,Tamil Nadu,84929,36,33,Yes
