Order_ID,Order_Date,Customer_ID,Product_ID,Warehouse_ID,Quantity,Priority,Order_Status,Unit_Price,Order_Value
ORD000047,2026-03-11,CUST02818,PROD0099,WH02,71,Critical,Cancelled,241.65,17157.15
ORD000048,2025-11-28,CUST02747,PROD0073,WH09,108,Critical,Delivered,2148.16,232001.28
ORD000049,2025-01-27,CUST02469,PROD0070,WH08,86,Express,Backordered,1944.39,167217.54
ORD000050,2025-06-15,CUST02172,PROD0189,WH02,181,Critical,In Transit,2332.83,422242.23
ORD000051,2025-11-14,CUST02989,PROD0154,WH12,25,Standard,Delivered,1391.33,34783.25
ORD000052,2025-10-01,CUST02925,PROD0039,WH04,298,Standard,Cancelled,1153.76,343820.48
ORD000053,2026-01-18,CUST01623,PROD0186,WH09,151,Standard,In Transit,1818.41,274579.91
ORD000054,2025-12-31,CUST02061,PROD0027,WH04,265,Express,In Transit,1265.29,335301.85
ORD000055,2025-04-13,CUST00800,PROD0040,WH07,203,Express,Cancelled,1370.86,278284.58
ORD000056,2026-05-18,CUST00945,PROD0123,WH05,51,Standard,Cancelled,2465.21,125725.71
ORD000057,2026-01-08,CUST02248,PROD0031,WH10,220,Standard,Cancelled,190.36,41879.2
ORD000058,2025-09-02,CUST01266,PROD0131,WH06,57,Express,Delivered,291.33,16605.81
ORD000059,2025-06-18,CUST01263,PROD0015,WH01,82,Standard,Cancelled,1193.32,97852.24
ORD000060,2026-02-22,CUST02351,PROD0182,WH04,164,Express,Delivered,419.1,68732.4
ORD000061,2025-12-22,CUST01189,PROD0070,WH05,269,Standard,Backordered,1944.39,523040.91
ORD000062,2026-04-23,CUST02786,PROD0011,WH06,183,Standard,Delivered,129.32,23665.56
ORD000063,2025-05-05,CUST00176,PROD0030,WH06,180,Critical,Delivered,419.89,75580.2
ORD000064,2026-06-21,CUST01053,PROD0035,WH05,284,Standard,Delivered,2351.47,667817.48
ORD000065,2026-02-06,CUST02725,PROD0112,WH03,86,Standard,Delivered,1756.91,151094.26
ORD000066,2026-06-01,CUST02583,PROD0043,WH11,111,Critical,Delivered,2403.56,266795.16
ORD000067,2026-06-15,CUST01318,PROD0189,WH02,158,Critical,Delivered,2332.83,368587.14
ORD000068,2025-09-11,CUST00477,PROD0168,WH07,45,Standard,Delivered,1556.03,70021.35
ORD000069,2025-05-01,CUST02431,PROD0093,WH01,38,Critical,Cancelled,743.63,28257.94
ORD000070,2025-02-01,CUST02604,PROD0170,WH12,20,Standard,Backordered,482.48,9649.6
ORD000071,2025-02-06,CUST01716,PROD0170,WH12,97,Standard,In Transit,482.48,46800.56
ORD000072,2025-12-08,CUST01675,PROD0119,WH05,59,Standard,Delivered,945.06,55758.54
ORD000073,2025-01-13,CUST00334,PROD0003,WH04,224,Standard,Backordered,1392.57,311935.68
ORD000074,2025-07-02,CUST01272,PROD0090,WH07,298,Critical,Delivered,1439.99,429117.02
ORD000075,2025-09-22,CUST01265,PROD0078,WH02,189,Express,In Transit,2257.84,426731.76
ORD000076,2025-03-29,CUST02946,PROD0083,WH11,59,Standard,Delivered,982.17,57948.03
ORD000077,2026-04-07,CUST00931,PROD0085,WH08,8,Standard,Delivered,2264.87,18118.96
ORD000078,2025-02-15,CUST00685,PROD0124,WH09,102,Critical,Delivered,1887.14,192488.28
ORD000079,2026-01-27,CUST00561,PROD0149,WH12,21,Standard,Backordered,122.25,2567.25
ORD000080,2025-04-29,CUST00123,PROD0077,WH10,216,Standard,Delivered,271.26,58592.16
ORD000081,2026-06-15,CUST01059,PROD0105,WH01,231,Critical,Cancelled,887.02,204901.62
ORD000082,2026-03-23,CUST02666,PROD0053,WH05,236,Express,Cancelled,2114.52,499026.72
ORD000083,2026-08-29,CUST00840,PROD0044,WH04,151,Standard,In Transit,2264.8,341984.8
ORD000084,2025-02-15,CUST00416,PROD0046,WH05,68,Standard,Delivered,187.36,12740.48
ORD000085,2026-05-23,CUST00708,PROD0037,WH09,46,Standard,In Transit,979.6,45061.6
ORD000086,2026-07-12,CUST02685,PROD0038,WH12,222,Express,Delivered,1613.57,358212.54
ORD000087,2026-06-10,CUST00347,PROD0109,WH03,240,Express,Backordered,1551.27,372304.8
ORD000088,2026-08-20,CUST02085,PROD0109,WH01,156,Standard,Delivered,1551.27,241998.12
ORD000089,2025-01-03,CUST01724,PROD0088,WH11,95,Express,Cancelled,2375.9,225710.5
ORD000090,2025-01-28,CUST02560,PROD0166,WH03,97,Express,In Transit,2227.31,216049.07
ORD000091,2026-01-16,CUST00849,PROD0011,WH04,83,Standard,Cancelled,129.32,10733.56
ORD000092,2025-06-06,CUST00535,PROD0093,WH02,245,Standard,Delivered,743.63,182189.35
ORD000093,2026-05-26,CUST02958,PROD0173,WH01,63,Standard,Cancelled,1465.39,92319.57
ORD000094,2025-11-29,CUST02821,PROD0064,WH01,10,Standard,In Transit,455.94,4559.4
ORD000095,2025-04-24,CUST01730,PROD0172,WH08,89,Critical,In Transit,893.08,79484.12
ORD000096,2026-01-24,CUST01902,PROD0126,WH04,165,Critical,Delivered,222.5,36712.5
ORD000097,2026-05-02,CUST00664,PROD0112,WH12,286,Standard,Cancelled,1756.91,502476.26
ORD000098,2025-09-07,CUST01042,PROD0105,WH02,215,Standard,Delivered,887.02,190709.3
ORD000099,2026-07-25,CUST00027,PROD0062,WH10,72,Express,Delivered,2011.65,144838.8
ORD000100,2025-11-11,CUST02584,PROD0061,WH03,208,Standard,Backordered,1841.65,383063.2
ORD000101,2025-08-27,CUST01053,PROD0090,WH08,139,Standard,Cancelled,1439.99,200158.61
ORD000102,2025-08-22,CUST01675,PROD0012,WH06,246,Express,Delivered,116.21,28587.66
ORD000103,2025-10-30,CUST02706,PROD0137,WH08,129,Standard,Delivered,307.05,39609.45
ORD000104,2026-08-30,CUST01659,PROD0195,WH10,100,Express,In Transit,2468.38,246838.0
ORD000105,2025-11-30,CUST00640,PROD0074,WH05,11,Express,Delivered,1081.05,11891.55
ORD000106,2025-04-23,CUST01742,PROD0107,WH03,176,Standard,Cancelled,370.33,65178.08
ORD000107,2025-12-28,CUST00042,PROD0130,WH06,150,Express,Delivered,2267.29,340093.5
ORD000108,2025-04-07,CUST01715,PROD0136,WH10,75,Critical,In Transit,310.26,23269.5
ORD000109,2025-01-16,CUST02261,PROD0116,WH08,99,Standard,Delivered,217.15,21497.85
ORD000110,2026-07-10,CUST01987,PROD0043,WH05,265,Express,Delivered,2403.56,636943.4
ORD000111,2026-01-11,CUST02884,PROD0146,WH05,243,Standard,Delivered,2408.61,585292.23
ORD000112,2026-01-25,CUST00702,PROD0180,WH03,83,Standard,Delivered,2037.28,169094.24
ORD000113,2025-08-05,CUST01455,PROD0039,WH03,293,Critical,In Transit,1153.76,338051.68
ORD000114,2026-02-03,CUST02128,PROD0031,WH12,70,Critical,Delivered,190.36,13325.2
ORD000115,2025-09-17,CUST01252,PROD0142,WH08,228,Express,Delivered,946.55,215813.4
ORD000116,2025-11-16,CUST02950,PROD0064,WH11,172,Standard,Backordered,455.94,78421.68
ORD000117,2025-07-15,CUST02472,PROD0103,WH01,131,Standard,Backordered,1112.2,145698.2
ORD000118,2026-04-23,CUST01997,PROD0097,WH04,10,Express,Cancelled,1982.07,19820.7
ORD000119,2026-02-22,CUST00919,PROD0044,WH09,56,Standard,Cancelled,2264.8,126828.8
ORD000120,2026-04-20,CUST02564,PROD0188,WH06,33,Critical,Delivered,1054.33,34792.89
ORD000121,2026-08-30,CUST00165,PROD0097,WH06,244,Standard,Cancelled,1982.07,483625.08
ORD000122,2026-07-22,CUST01450,PROD0002,WH10,226,Critical,Cancelled,1848.67,417799.42
ORD000123,2026-06-28,CUST02941,PROD0160,WH11,228,Express,Delivered,1574.48,358981.44
ORD000124,2025-08-19,CUST01066,PROD0036,WH11,245,Standard,Delivered,1445.05,354037.25
ORD000125,2026-06-05,CUST01821,PROD0055,WH07,103,Express,Delivered,2038.95,210011.85
ORD000126,2025-07-19,CUST02789,PROD0114,WH11,197,Critical,Backordered,2057.32,405292.04
ORD000127,2026-08-22,CUST02803,PROD0087,WH07,209,Standard,Delivered,808.49,168974.41
ORD000128,2025-01-21,CUST02464,PROD0191,WH06,192,Critical,Backordered,127.37,24455.04
ORD000129,2025-11-07,CUST00336,PROD0069,WH09,127,Express,Cancelled,939.46,119311.42
ORD000130,2026-08-11,CUST01925,PROD0111,WH08,10,Standard,Delivered,224.01,2240.1
ORD000131,2026-08-19,CUST00881,PROD0080,WH12,66,Express,Backordered,2068.75,136537.5
ORD000132,2026-03-10,CUST01454,PROD0040,WH08,158,Standard,In Transit,1370.86,216595.88
ORD000133,2026-01-06,CUST00972,PROD0024,WH02,256,Standard,Cancelled,127.58,32660.48
ORD000134,2026-07-14,CUST02733,PROD0117,WH07,35,Standard,Backordered,225.82,7903.7
ORD000135,2025-03-19,CUST02789,PROD0186,WH12,167,Critical,Delivered,1818.41,303674.47
ORD000136,2026-06-26,CUST00030,PROD0104,WH01,22,Express,Delivered,2220.94,48860.68
ORD000137,2025-10-12,CUST01541,PROD0156,WH10,67,Standard,In Transit,1314.9,88098.3
ORD000138,2025-05-20,CUST00575,PROD0062,WH08,198,Standard,Backordered,2011.65,398306.7
ORD000139,2026-07-07,CUST00221,PROD0153,WH03,100,Standard,In Transit,198.38,19838.0
ORD000140,2025-10-09,CUST00827,PROD0007,WH11,195,Critical,In Transit,899.59,175420.05
ORD000141,2026-07-16,CUST02014,PROD0038,WH09,100,Standard,Delivered,1613.57,161357.0
ORD000142,2025-09-15,CUST02642,PROD0199,WH05,75,Standard,Backordered,2425.24,181893.0
ORD000143,2025-12-26,CUST01518,PROD0119,WH07,17,Express,Backordered,945.06,16066.02
ORD000144,2026-03-16,CUST00754,PROD0086,WH07,147,Express,Delivered,241.85,35551.95
ORD000145,2025-09-27,CUST01277,PROD0086,WH09,250,Standard,Delivered,241.85,60462.5
ORD000146,2025-05-14,CUST01588,PROD0091,WH02,255,Standard,Delivered,1585.12,404205.6
ORD000147,2025-04-14,CUST01021,PROD0121,WH04,188,Standard,Delivered,2034.81,382544.28
ORD000148,2025-04-05,CUST01489,PROD0097,WH12,240,Standard,Cancelled,1982.07,475696.8
ORD000149,2026-07-27,CUST01962,PROD0173,WH08,176,Standard,In Transit,1465.39,257908.64
ORD000150,2026-04-25,CUST01863,PROD0160,WH05,32,Standard,In Transit,1574.48,50383.36
ORD000151,2025-08-29,CUST02540,PROD0103,WH11,122,Express,In Transit,1112.2,135688.4
ORD000152,2025-01-13,CUST00438,PROD0160,WH05,28,Standard,Delivered,1574.48,44085.44
ORD000153,2025-05-27,CUST00479,PROD0001,WH03,189,Critical,Delivered,2387.84,451301.76
ORD000154,2026-08-24,CUST00783,PROD0045,WH05,140,Express,Cancelled,501.54,70215.6
ORD000155,2025-04-05,CUST02997,PROD0064,WH07,271,Standard,Cancelled,455.94,123559.74
ORD000156,2025-10-20,CUST01008,PROD0196,WH04,285,Standard,Backordered,388.79,110805.15
ORD000157,2025-01-25,CUST00072,PROD0135,WH08,269,Critical,Backordered,154.91,41670.79
ORD000158,2025-09-29,CUST00582,PROD0166,WH11,294,Standard,Delivered,2227.31,654829.14
ORD000159,2026-05-20,CUST00220,PROD0070,WH06,186,Standard,Delivered,1944.39,361656.54
ORD000160,2025-06-15,CUST01028,PROD0181,WH06,110,Standard,Backordered,1716.56,188821.6
ORD000161,2025-03-28,CUST00290,PROD0075,WH06,255,Standard,Backordered,1880.91,479632.05
ORD000162,2026-05-06,CUST00380,PROD0073,WH04,35,Critical,In Transit,2148.16,75185.6
ORD000163,2025-05-21,CUST02852,PROD0158,WH03,222,Critical,In Transit,1743.94,387154.68
ORD000164,2025-04-13,CUST01379,PROD0150,WH10,110,Standard,In Transit,2229.49,245243.9
ORD000165,2025-08-14,CUST02791,PROD0186,WH06,261,Standard,In Transit,1818.41,474605.01
ORD000166,2026-07-29,CUST01959,PROD0073,WH06,2,Express,Backordered,2148.16,4296.32
ORD000167,2025-10-21,CUST02128,PROD0055,WH02,234,Express,In Transit,2038.95,477114.3
ORD000168,2025-11-02,CUST00066,PROD0046,WH10,286,Standard,Backordered,187.36,53584.96
ORD000169,2025-09-11,CUST02184,PROD0097,WH09,99,Critical,Delivered,1982.07,196224.93
ORD000170,2025-06-29,CUST00399,PROD0154,WH04,119,Standard,Cancelled,1391.33,165568.27
ORD000171,2025-02-09,CUST00347,PROD0192,WH04,10,Standard,Delivered,80.52,805.2
ORD000172,2026-06-04,CUST01985,PROD0137,WH10,73,Standard,Cancelled,307.05,22414.65
ORD000173,2026-06-30,CUST02107,PROD0015,WH12,209,Express,Delivered,1193.32,249403.88
ORD000174,2025-08-24,CUST00778,PROD0147,WH11,124,Standard,Delivered,45.2,5604.8
ORD000175,2026-04-08,CUST02567,PROD0144,WH12,38,Standard,Delivered,2173.47,82591.86
ORD000176,2025-08-16,CUST01904,PROD0025,WH12,94,Express,Cancelled,945.91,88915.54
ORD000177,2026-04-28,CUST02762,PROD0099,WH08,233,Express,Delivered,241.65,56304.45
ORD000178,2026-03-06,CUST00079,PROD0179,WH03,163,Express,Delivered,784.18,127821.34
ORD000179,2025-01-22,CUST01582,PROD0077,WH10,140,Standard,Delivered,271.26,37976.4
ORD000180,2025-12-09,CUST01779,PROD0174,WH07,242,Critical,Cancelled,208.17,50377.14
ORD000181,2025-02-09,CUST02163,PROD0007,WH07,170,Standard,In Transit,899.59,152930.3
ORD000182,2025-06-22,CUST00986,PROD0034,WH02,98,Critical,Delivered,1470.65,144123.7
ORD000183,2026-03-15,CUST01486,PROD0058,WH03,67,Standard,Cancelled,1746.39,117008.13
ORD000184,2025-06-28,CUST01650,PROD0078,WH12,289,Express,Delivered,2257.84,652515.76
ORD000185,2026-08-21,CUST02174,PROD0023,WH04,104,Standard,In Transit,1593.21,165693.84
ORD000186,2025-05-13,CUST01626,PROD0151,WH02,141,Standard,Delivered,1326.34,187013.94
ORD000187,2025-12-17,CUST02621,PROD0145,WH09,203,Standard,Delivered,570.64,115839.92
ORD000188,2026-06-09,CUST00965,PROD0141,WH10,290,Critical,Delivered,2406.0,697740.0
ORD000189,2026-06-24,CUST02548,PROD0122,WH11,137,Critical,Delivered,2368.91,324540.67
ORD000190,2026-05-21,CUST00829,PROD0027,WH06,263,Express,Delivered,1265.29,332771.27
ORD000191,2025-03-25,CUST02674,PROD0066,WH01,106,Critical,Cancelled,2019.98,214117.88
ORD000192,2026-04-09,CUST01198,PROD0101,WH01,130,Standard,Backordered,158.03,20543.9
ORD000193,2025-12-09,CUST02500,PROD0158,WH08,261,Standard,Delivered,1743.94,455168.34
ORD000194,2025-10-07,CUST01719,PROD0132,WH11,113,Standard,Delivered,1239.17,140026.21
ORD000195,2025-09-20,CUST02433,PROD0094,WH06,116,Critical,Delivered,831.73,96480.68
ORD000196,2025-06-15,CUST01229,PROD0067,WH10,138,Critical,Delivered,2476.41,341744.58
ORD000197,2025-10-20,CUST02411,PROD0142,WH12,161,Standard,Cancelled,946.55,152394.55
ORD000198,2026-05-24,CUST01841,PROD0011,WH07,108,Standard,Backordered,129.32,13966.56
ORD000199,2026-08-03,CUST00498,PROD0040,WH06,248,Standard,Delivered,1370.86,339973.28
ORD000200,2025-08-14,CUST00537,PROD0131,WH02,134,Critical,Delivered,291.33,39038.22
ORD000201,2025-06-19,CUST02064,PROD0001,WH03,14,Express,In Transit,2387.84,33429.76
ORD000202,2026-08-21,CUST01165,PROD0009,WH08,78,Critical,Cancelled,50.77,3960.06
ORD000203,2026-03-24,CUST01972,PROD0112,WH04,271,Critical,Backordered,1756.91,476122.61
ORD000204,2026-05-17,CUST02668,PROD0073,WH08,225,Standard,Delivered,2148.16,483336.0
ORD000205,2026-06-11,CUST00300,PROD0124,WH03,121,Critical,In Transit,1887.14,228343.94
ORD000206,2026-01-14,CUST02387,PROD0076,WH02,223,Express,Delivered,1890.04,421478.92
ORD000207,2025-07-20,CUST00303,PROD0129,WH07,209,Express,Delivered,1069.19,223460.71
ORD000208,2025-09-07,CUST00592,PROD0144,WH01,240,Express,Delivered,2173.47,521632.8
ORD000209,2026-02-13,CUST00076,PROD0094,WH11,21,Standard,Backordered,831.73,17466.33
ORD000210,2026-08-24,CUST00914,PROD0072,WH03,285,Express,Backordered,2327.93,663460.05
ORD000211,2025-05-05,CUST00780,PROD0046,WH02,93,Standard,Cancelled,187.36,17424.48
ORD000212,2025-04-23,CUST00921,PROD0138,WH05,255,Standard,Delivered,1628.29,415213.95
ORD000213,2025-05-17,CUST01524,PROD0161,WH02,162,Critical,Delivered,1467.02,237657.24
ORD000214,2026-05-11,CUST01750,PROD0102,WH10,252,Critical,Delivered,1380.58,347906.16
ORD000215,2025-05-30,CUST02036,PROD0041,WH05,265,Critical,Cancelled,2354.54,623953.1
ORD000216,2025-12-09,CUST02414,PROD0179,WH03,188,Express,Delivered,784.18,147425.84
ORD000217,2026-08-03,CUST02701,PROD0022,WH09,112,Express,Delivered,1545.39,173083.68
ORD000218,2025-11-17,CUST01006,PROD0144,WH10,30,Express,Delivered,2173.47,65204.1
ORD000219,2026-06-16,CUST01702,PROD0083,WH09,273,Standard,Delivered,982.17,268132.41
ORD000220,2025-10-16,CUST02444,PROD0190,WH08,168,Standard,In Transit,2167.17,364084.56
ORD000221,2026-05-04,CUST00804,PROD0181,WH05,96,Standard,Delivered,1716.56,164789.76
ORD000222,2026-05-07,CUST01052,PROD0075,WH10,135,Standard,Delivered,1880.91,253922.85
ORD000223,2025-09-09,CUST02893,PROD0014,WH11,38,Standard,Delivered,1763.59,67016.42
ORD000224,2025-03-18,CUST00872,PROD0187,WH07,288,Critical,Delivered,1539.34,443329.92
ORD000225,2026-01-27,CUST00115,PROD0154,WH02,69,Critical,Backordered,1391.33,96001.77
ORD000226,2026-02-16,CUST00373,PROD0172,WH03,234,Standard,Backordered,893.08,208980.72
ORD000227,2025-06-22,CUST00850,PROD0148,WH12,67,Critical,Backordered,2425.15,162485.05
ORD000228,2025-07-20,CUST02138,PROD0133,WH11,56,Standard,Backordered,43.21,2419.76
ORD000229,2025-08-05,CUST00757,PROD0193,WH02,276,Standard,Cancelled,950.51,262340.76
ORD000230,2026-01-11,CUST01322,PROD0011,WH10,192,Standard,Backordered,129.32,24829.44
ORD000231,2026-08-09,CUST00031,PROD0047,WH11,120,Critical,Cancelled,265.43,31851.6
ORD000232,2025-01-11,CUST01853,PROD0010,WH01,11,Standard,Cancelled,303.44,3337.84
ORD000233,2025-01-12,CUST02406,PROD0061,WH03,146,Standard,In Transit,1841.65,268880.9
ORD000234,2026-08-13,CUST02518,PROD0111,WH04,14,Standard,Backordered,224.01,3136.14
ORD000235,2026-03-11,CUST01806,PROD0045,WH12,34,Standard,Cancelled,501.54,17052.36
ORD000236,2026-08-31,CUST02318,PROD0047,WH09,204,Standard,In Transit,265.43,54147.72
ORD000237,2026-01-08,CUST01437,PROD0162,WH12,86,Standard,Delivered,2254.38,193876.68
ORD000238,2025-09-30,CUST02257,PROD0118,WH02,154,Standard,Delivered,2466.8,379887.2
ORD000239,2026-07-30,CUST00690,PROD0141,WH09,170,Express,Cancelled,2406.0,409020.0
ORD000240,2026-05-24,CUST01215,PROD0023,WH01,167,Standard,Cancelled,1593.21,266066.07
ORD000241,2025-05-12,CUST00457,PROD0036,WH09,185,Critical,In Transit,1445.05,267334.25
ORD000242,2025-11-15,CUST00449,PROD0191,WH06,113,Express,In Transit,127.37,14392.81
ORD000243,2025-06-17,CUST00068,PROD0076,WH08,144,Standard,Delivered,1890.04,272165.76
ORD000244,2026-02-01,CUST01863,PROD0175,WH03,211,Standard,Delivered,2436.37,514074.07
ORD000245,2025-06-29,CUST01803,PROD0109,WH08,191,Standard,In Transit,1551.27,296292.57
ORD000246,2025-02-27,CUST01806,PROD0194,WH11,286,Express,Delivered,2029.23,580359.78
ORD000247,2026-04-25,CUST00874,PROD0084,WH09,182,Critical,Delivered,41.93,7631.26
ORD000248,2026-08-14,CUST00467,PROD0080,WH07,155,Express,Backordered,2068.75,320656.25
ORD000249,2026-04-05,CUST00128,PROD0014,WH04,192,Express,Cancelled,1763.59,338609.28
ORD000250,2025-03-02,CUST01800,PROD0181,WH06,81,Standard,Cancelled,1716.56,139041.36
ORD000251,2026-01-04,CUST00733,PROD0066,WH06,49,Standard,Delivered,2019.98,98979.02
ORD000252,2025-05-01,CUST01268,PROD0177,WH02,55,Critical,Delivered,1749.93,96246.15
ORD000253,2026-06-30,CUST01929,PROD0016,WH02,67,Critical,Cancelled,258.12,17294.04
ORD000254,2026-08-05,CUST01043,PROD0196,WH11,115,Express,In Transit,388.79,44710.85
ORD000255,2025-01-17,CUST01420,PROD0043,WH05,112,Express,Delivered,2403.56,269198.72
ORD000256,2026-05-11,CUST00368,PROD0102,WH01,159,Standard,Delivered,1380.58,219512.22
ORD000257,2026-05-12,CUST02106,PROD0113,WH05,107,Express,Delivered,195.82,20952.74
ORD000258,2026-05-20,CUST02605,PROD0193,WH10,26,Standard,Delivered,950.51,24713.26
ORD000259,2026-06-16,CUST02096,PROD0009,WH03,110,Standard,Delivered,50.77,5584.7
ORD000260,2025-11-11,CUST02610,PROD0149,WH03,66,Standard,Cancelled,122.25,8068.5
ORD000261,2025-03-10,CUST02641,PROD0082,WH08,205,Standard,Delivered,2240.38,459277.9
ORD000262,2025-06-10,CUST00812,PROD0110,WH11,101,Critical,In Transit,266.29,26895.29
ORD000263,2025-05-25,CUST00059,PROD0098,WH03,206,Critical,In Transit,1977.2,407303.2
ORD000264,2026-07-23,CUST00161,PROD0084,WH03,1,Standard,In Transit,41.93,41.93
ORD000265,2026-08-18,CUST00103,PROD0043,WH01,224,Express,Delivered,2403.56,538397.44
ORD000266,2026-01-20,CUST00846,PROD0066,WH08,70,Express,Delivered,2019.98,141398.6
ORD000267,2025-09-26,CUST00412,PROD0132,WH10,150,Express,In Transit,1239.17,185875.5
ORD000268,2026-03-30,CUST00786,PROD0123,WH10,215,Critical,Delivered,2465.21,530020.15
ORD000269,2026-06-02,CUST00183,PROD0109,WH06,142,Standard,Delivered,1551.27,220280.34
ORD000270,2025-12-16,CUST02465,PROD0102,WH11,14,Express,Cancelled,1380.58,19328.12
ORD000271,2025-04-20,CUST02047,PROD0135,WH08,199,Standard,In Transit,154.91,30827.09
ORD000272,2026-04-28,CUST02447,PROD0086,WH03,19,Critical,Delivered,241.85,4595.15
ORD000273,2026-02-11,CUST00957,PROD0084,WH11,150,Standard,Delivered,41.93,6289.5
ORD000274,2025-02-20,CUST02827,PROD0186,WH06,262,Standard,Backordered,1818.41,476423.42
ORD000275,2026-02-07,CUST02703,PROD0004,WH12,74,Standard,Cancelled,1535.13,113599.62
ORD000276,2026-07-17,CUST00437,PROD0124,WH02,266,Standard,Delivered,1887.14,501979.24
ORD000277,2026-04-21,CUST02366,PROD0020,WH03,293,Standard,Delivered,1093.12,320284.16
ORD000278,2025-03-28,CUST01840,PROD0035,WH04,145,Standard,Delivered,2351.47,340963.15
ORD000279,2025-03-09,CUST00606,PROD0097,WH09,133,Standard,In Transit,1982.07,263615.31
