Product_ID,Product_Name,Category,Unit_Price,Unit_Weight_Kg,Supplier_ID
PROD0132,Product_0132,Electronics,1239.17,3.28,SUP011
PROD0133,Product_0133,Automotive,43.21,7.17,SUP038
PROD0134,Product_0134,Consumer Goods,1179.62,9.14,SUP002
PROD0135,Product_0135,Home Appliances,154.91,16.18,SUP007
PROD0136,Product_0136,Home Appliances,310.26,14.31,SUP018
PROD0137,Product_0137,Automotive,307.05,8.97,SUP027
PROD0138,Product_0138,Home Appliances,1628.29,24.66,SUP034
PROD0139,Product_0139,Electronics,1868.92,15.18,SUP027
PROD0140,Product_0140,Consumer Goods,1464.67,6.01,SUP017
PROD0141,Product_0141,Industrial,2406.0,2.63,SUP024
PROD0142,Product_0142,Home Appliances,946.55,3.91,SUP025
PROD0143,Product_0143,Electronics,724.99,6.22,SUP007
PROD0144,Product_0144,Industrial,2173.47,4.1,SUP006
PROD0145,Product_0145,Consumer Goods,570.64,4.75,SUP024
PROD0146,Product_0146,Industrial,2408.61,7.2,SUP033
PROD0147,Product_0147,Electronics,45.2,4.42,SUP029
PROD0148,Product_0148,Industrial,2425.15,22.43,SUP022
PROD0149,Product_0149,Automotive,122.25,2.1,SUP026
PROD0150,Product_0150,Industrial,2229.49,13.16,SUP028
PROD0151,Product_0151,Home Appliances,1326.34,10.32,SUP021
PROD0152,Product_0152,Home Appliances,2482.52,24.56,SUP007
PROD0153,Product_0153,Automotive,198.38,2.89,SUP017
PROD0154,Product_0154,Electronics,1391.33,10.01,SUP020
PROD0155,Product_0155,Home Appliances,2423.72,24.24,SUP020
PROD0156,Product_0156,Consumer Goods,1314.9,21.65,SUP022
PROD0157,Product_0157,Home Appliances,1579.06,20.45,SUP028
PROD0158,Product_0158,Home Appliances,1743.94,6.52,SUP040
PROD0159,Product_0159,Electronics,1144.53,4.36,SUP007
PROD0160,Product_0160,Industrial,1574.48,16.75,SUP001
PROD0161,Product_0161,Home Appliances,1467.02,23.24,SUP032
PROD0162,Product_0162,Automotive,2254.38,13.96,SUP013
PROD0163,Product_0163,Industrial,127.93,14.33,SUP030
PROD0164,Product_0164,Consumer Goods,713.19,7.07,SUP023
PROD0165,Product_0165,Electronics,2376.77,19.26,SUP019
PROD0166,Product_0166,Consumer Goods,2227.31,4.76,SUP032
PROD0167,Product_0167,Industrial,1147.31,8.16,SUP030
PROD0168,Product_0168,Industrial,1556.03,10.69,SUP029
PROD0169,Product_0169,Industrial,704.29,12.74,SUP029
PROD0170,Product_0170,Consumer Goods,482.48,6.14,SUP030
PROD0171,Product_0171,Industrial,1167.29,2.96,SUP016
PROD0172,Product_0172,Consumer Goods,893.08,15.3,SUP040
PROD0173,Product_0173,Industrial,1465.39,7.29,SUP019
PROD0174,Product_0174,Automotive,208.17,14.57,SUP018
PROD0175,Product_0175,Industrial,2436.37,3.94,SUP001
PROD0176,Product_0176,Consumer Goods,2465.73,12.08,SUP014
PROD0177,Product_0177,Home Appliances,1749.93,13.36,SUP002
PROD0178,Product_0178,Industrial,1347.2,1.39,SUP028
PROD0179,Product_0179,Home Appliances,784.18,8.48,SUP030
PROD0180,Product_0180,Automotive,2037.28,3.45,SUP038
PROD0181,Product_0181,Electronics,1716.56,1.68,SUP004
PROD0182,Product_0182,Automotive,419.1,24.75,SUP001
PROD0183,Product_0183,Industrial,2278.65,8.13,SUP008
PROD0184,Product_0184,Home Appliances,2059.01,20.27,SUP029
PROD0185,Product_0185,Home Appliances,2375.25,6.44,SUP039
PROD0186,Product_0186,Consumer Goods,1818.41,17.07,SUP003
PROD0187,Product_0187,Home Appliances,1539.34,19.03,SUP032
PROD0188,Product_0188,Consumer Goods,1054.33,14.93,SUP010
PROD0189,Product_0189,Electronics,2332.83,11.84,SUP010
PROD0190,Product_0190,Industrial,2167.17,10.35,SUP019
PROD0191,Product_0191,Consumer Goods,127.37,8.79,SUP034
PROD0192,Product_0192,Electronics,80.52,23.25,SUP033
PROD0193,Product_0193,Home Appliances,950.51,20.78,SUP023
PROD0194,Product_0194,Home Appliances,2029.23,24.13,SUP028
PROD0195,Product_0195,Electronics,2468.38,3.2,SUP032
PROD0196,Product_0196,Home Appliances,388.79,18.3,SUP007
PROD0197,Product_0197,Electronics,1491.41,23.46,SUP029
PROD0198,Product_0198,Consumer Goods,961.51,4.61,SUP008
PROD0199,Product_0199,Consumer Goods,2425.24,1.76,SUP001
PROD0200,Product_0200,Electronics,2107.67,18.55,SUP003
